date,serie,valeur
2025-02-20,FXUSDCAD,1.3711
2025-02-21,FXUSDCAD,1.3675
2025-02-24,FXUSDCAD,1.3640
2025-02-25,FXUSDCAD,1.3606
2025-02-26,FXUSDCAD,1.3574
2025-02-27,FXUSDCAD,1.3544
2025-02-28,FXUSDCAD,1.3518
2025-03-03,FXUSDCAD,1.3496
2025-03-04,FXUSDCAD,1.3477
2025-03-05,FXUSDCAD,1.3463
2025-03-06,FXUSDCAD,1.3453
2025-03-07,FXUSDCAD,1.3447
2025-03-10,FXUSDCAD,1.3445
2025-03-11,FXUSDCAD,1.3447
2025-03-12,FXUSDCAD,1.3451
2025-03-13,FXUSDCAD,1.3458
2025-03-14,FXUSDCAD,1.3467
2025-03-17,FXUSDCAD,1.3476
2025-03-18,FXUSDCAD,1.3486
2025-03-19,FXUSDCAD,1.3494
2025-03-20,FXUSDCAD,1.3502
2025-03-21,FXUSDCAD,1.3507
2025-03-24,FXUSDCAD,1.3509
2025-03-25,FXUSDCAD,1.3508
2025-03-26,FXUSDCAD,1.3503
2025-03-27,FXUSDCAD,1.3495
2025-03-28,FXUSDCAD,1.3482
2025-03-31,FXUSDCAD,1.3465
2025-04-01,FXUSDCAD,1.3444
2025-04-02,FXUSDCAD,1.3420
2025-04-03,FXUSDCAD,1.3393
2025-04-04,FXUSDCAD,1.3363
2025-04-07,FXUSDCAD,1.3331
2025-04-08,FXUSDCAD,1.3299
2025-04-09,FXUSDCAD,1.3266
2025-04-10,FXUSDCAD,1.3233
2025-04-11,FXUSDCAD,1.3202
2025-04-14,FXUSDCAD,1.3173
2025-04-15,FXUSDCAD,1.3147
2025-04-16,FXUSDCAD,1.3124
2025-04-17,FXUSDCAD,1.3105
2025-04-18,FXUSDCAD,1.3090
2025-04-21,FXUSDCAD,1.3080
2025-04-22,FXUSDCAD,1.3075
2025-04-23,FXUSDCAD,1.3073
2025-04-24,FXUSDCAD,1.3076
2025-04-25,FXUSDCAD,1.3083
2025-04-28,FXUSDCAD,1.3094
2025-04-29,FXUSDCAD,1.3107
2025-04-30,FXUSDCAD,1.3122
2025-05-01,FXUSDCAD,1.3139
2025-05-02,FXUSDCAD,1.3156
2025-05-05,FXUSDCAD,1.3173
2025-05-06,FXUSDCAD,1.3189
2025-05-07,FXUSDCAD,1.3203
2025-05-08,FXUSDCAD,1.3215
2025-05-09,FXUSDCAD,1.3223
2025-05-12,FXUSDCAD,1.3229
2025-05-13,FXUSDCAD,1.3230
2025-05-14,FXUSDCAD,1.3228
2025-05-15,FXUSDCAD,1.3222
2025-05-16,FXUSDCAD,1.3212
2025-05-19,FXUSDCAD,1.3199
2025-05-20,FXUSDCAD,1.3183
2025-05-21,FXUSDCAD,1.3164
2025-05-22,FXUSDCAD,1.3143
2025-05-23,FXUSDCAD,1.3121
2025-05-26,FXUSDCAD,1.3099
2025-05-27,FXUSDCAD,1.3077
2025-05-28,FXUSDCAD,1.3056
2025-05-29,FXUSDCAD,1.3038
2025-05-30,FXUSDCAD,1.3022
2025-06-02,FXUSDCAD,1.3009
2025-06-03,FXUSDCAD,1.3000
2025-06-04,FXUSDCAD,1.2996
2025-06-05,FXUSDCAD,1.2995
2025-06-06,FXUSDCAD,1.3000
2025-06-09,FXUSDCAD,1.3009
2025-06-10,FXUSDCAD,1.3022
2025-06-11,FXUSDCAD,1.3040
2025-06-12,FXUSDCAD,1.3061
2025-06-13,FXUSDCAD,1.3085
2025-06-16,FXUSDCAD,1.3112
2025-06-17,FXUSDCAD,1.3140
2025-06-18,FXUSDCAD,1.3168
2025-06-19,FXUSDCAD,1.3197
2025-06-20,FXUSDCAD,1.3225
2025-06-23,FXUSDCAD,1.3252
2025-06-24,FXUSDCAD,1.3276
2025-06-25,FXUSDCAD,1.3297
2025-06-26,FXUSDCAD,1.3315
2025-06-27,FXUSDCAD,1.3329
2025-06-30,FXUSDCAD,1.3340
2025-07-01,FXUSDCAD,1.3346
2025-07-02,FXUSDCAD,1.3349
2025-07-03,FXUSDCAD,1.3348
2025-07-04,FXUSDCAD,1.3343
2025-07-07,FXUSDCAD,1.3336
2025-07-08,FXUSDCAD,1.3326
2025-07-09,FXUSDCAD,1.3316
2025-07-10,FXUSDCAD,1.3304
2025-07-11,FXUSDCAD,1.3292
2025-07-14,FXUSDCAD,1.3281
2025-07-15,FXUSDCAD,1.3272
2025-07-16,FXUSDCAD,1.3265
2025-07-17,FXUSDCAD,1.3261
2025-07-18,FXUSDCAD,1.3261
2025-07-21,FXUSDCAD,1.3264
2025-07-22,FXUSDCAD,1.3272
2025-07-23,FXUSDCAD,1.3284
2025-07-24,FXUSDCAD,1.3300
2025-07-25,FXUSDCAD,1.3321
2025-07-28,FXUSDCAD,1.3346
2025-07-29,FXUSDCAD,1.3374
2025-07-30,FXUSDCAD,1.3405
2025-07-31,FXUSDCAD,1.3438
2025-08-01,FXUSDCAD,1.3473
2025-08-04,FXUSDCAD,1.3509
2025-08-05,FXUSDCAD,1.3545
2025-08-06,FXUSDCAD,1.3580
2025-08-07,FXUSDCAD,1.3613
2025-08-08,FXUSDCAD,1.3644
2025-08-11,FXUSDCAD,1.3672
2025-08-12,FXUSDCAD,1.3697
2025-08-13,FXUSDCAD,1.3717
2025-08-14,FXUSDCAD,1.3734
2025-08-15,FXUSDCAD,1.3746
2025-08-18,FXUSDCAD,1.3754
2025-08-19,FXUSDCAD,1.3758
2025-08-20,FXUSDCAD,1.3759
2025-08-21,FXUSDCAD,1.3756
2025-08-22,FXUSDCAD,1.3750
2025-08-25,FXUSDCAD,1.3742
2025-08-26,FXUSDCAD,1.3733
2025-08-27,FXUSDCAD,1.3724
2025-08-28,FXUSDCAD,1.3714
2025-08-29,FXUSDCAD,1.3706
2025-09-01,FXUSDCAD,1.3700
2025-09-02,FXUSDCAD,1.3696
2025-09-03,FXUSDCAD,1.3695
2025-09-04,FXUSDCAD,1.3697
2025-09-05,FXUSDCAD,1.3704
2025-09-08,FXUSDCAD,1.3714
2025-09-09,FXUSDCAD,1.3729
2025-09-10,FXUSDCAD,1.3747
2025-09-11,FXUSDCAD,1.3770
2025-09-12,FXUSDCAD,1.3795
2025-09-15,FXUSDCAD,1.3824
2025-09-16,FXUSDCAD,1.3854
2025-09-17,FXUSDCAD,1.3887
2025-09-18,FXUSDCAD,1.3919
2025-09-19,FXUSDCAD,1.3952
2025-09-22,FXUSDCAD,1.3984
2025-09-23,FXUSDCAD,1.4014
2025-09-24,FXUSDCAD,1.4042
2025-09-25,FXUSDCAD,1.4067
2025-09-26,FXUSDCAD,1.4088
2025-09-29,FXUSDCAD,1.4105
2025-09-30,FXUSDCAD,1.4117
2025-10-01,FXUSDCAD,1.4125
2025-10-02,FXUSDCAD,1.4129
2025-10-03,FXUSDCAD,1.4128
2025-10-06,FXUSDCAD,1.4123
2025-10-07,FXUSDCAD,1.4115
2025-10-08,FXUSDCAD,1.4103
2025-10-09,FXUSDCAD,1.4088
2025-10-10,FXUSDCAD,1.4072
2025-10-13,FXUSDCAD,1.4055
2025-10-14,FXUSDCAD,1.4038
2025-10-15,FXUSDCAD,1.4022
2025-10-16,FXUSDCAD,1.4006
2025-10-17,FXUSDCAD,1.3993
2025-10-20,FXUSDCAD,1.3982
2025-10-21,FXUSDCAD,1.3975
2025-10-22,FXUSDCAD,1.3971
2025-10-23,FXUSDCAD,1.3971
2025-10-24,FXUSDCAD,1.3975
2025-10-27,FXUSDCAD,1.3982
2025-10-28,FXUSDCAD,1.3994
2025-10-29,FXUSDCAD,1.4008
2025-10-30,FXUSDCAD,1.4026
2025-10-31,FXUSDCAD,1.4045
2025-11-03,FXUSDCAD,1.4067
2025-11-04,FXUSDCAD,1.4089
2025-11-05,FXUSDCAD,1.4111
2025-11-06,FXUSDCAD,1.4132
2025-11-07,FXUSDCAD,1.4152
2025-11-10,FXUSDCAD,1.4169
2025-11-11,FXUSDCAD,1.4184
2025-11-12,FXUSDCAD,1.4195
2025-11-13,FXUSDCAD,1.4202
2025-11-14,FXUSDCAD,1.4204
2025-11-17,FXUSDCAD,1.4202
2025-11-18,FXUSDCAD,1.4195
2025-11-19,FXUSDCAD,1.4184
2025-11-20,FXUSDCAD,1.4169
2025-11-21,FXUSDCAD,1.4149
2025-11-24,FXUSDCAD,1.4127
2025-11-25,FXUSDCAD,1.4102
2025-11-26,FXUSDCAD,1.4074
2025-11-27,FXUSDCAD,1.4046
2025-11-28,FXUSDCAD,1.4017
2025-12-01,FXUSDCAD,1.3988
2025-12-02,FXUSDCAD,1.3960
2025-12-03,FXUSDCAD,1.3935
2025-12-04,FXUSDCAD,1.3912
2025-12-05,FXUSDCAD,1.3892
2025-12-08,FXUSDCAD,1.3875
2025-12-09,FXUSDCAD,1.3863
2025-12-10,FXUSDCAD,1.3854
2025-12-11,FXUSDCAD,1.3849
2025-12-12,FXUSDCAD,1.3848
2025-12-15,FXUSDCAD,1.3851
2025-12-16,FXUSDCAD,1.3857
2025-12-17,FXUSDCAD,1.3865
2025-12-18,FXUSDCAD,1.3875
2025-12-19,FXUSDCAD,1.3886
2025-12-22,FXUSDCAD,1.3898
2025-12-23,FXUSDCAD,1.3909
2025-12-24,FXUSDCAD,1.3920
2025-12-25,FXUSDCAD,1.3928
2025-12-26,FXUSDCAD,1.3934
2025-12-29,FXUSDCAD,1.3936
2025-12-30,FXUSDCAD,1.3935
2025-12-31,FXUSDCAD,1.3929
2026-01-01,FXUSDCAD,1.3920
2026-01-02,FXUSDCAD,1.3905
2026-01-05,FXUSDCAD,1.3887
2026-01-06,FXUSDCAD,1.3864
2026-01-07,FXUSDCAD,1.3838
2026-01-08,FXUSDCAD,1.3809
2026-01-09,FXUSDCAD,1.3776
2026-01-12,FXUSDCAD,1.3742
2026-01-13,FXUSDCAD,1.3707
2026-01-14,FXUSDCAD,1.3671
2026-01-15,FXUSDCAD,1.3635
2026-01-16,FXUSDCAD,1.3601
2026-01-19,FXUSDCAD,1.3568
2026-01-20,FXUSDCAD,1.3539
2026-01-21,FXUSDCAD,1.3512
2026-01-22,FXUSDCAD,1.3489
2026-01-23,FXUSDCAD,1.3470
2026-01-26,FXUSDCAD,1.3456
2026-01-27,FXUSDCAD,1.3445
2026-01-28,FXUSDCAD,1.3439
2026-01-29,FXUSDCAD,1.3437
2026-01-30,FXUSDCAD,1.3438
2026-02-02,FXUSDCAD,1.3442
2026-02-03,FXUSDCAD,1.3449
2026-02-04,FXUSDCAD,1.3458
2026-02-05,FXUSDCAD,1.3467
2026-02-06,FXUSDCAD,1.3477
2026-02-09,FXUSDCAD,1.3485
2026-02-10,FXUSDCAD,1.3493
2026-02-11,FXUSDCAD,1.3498
2026-02-12,FXUSDCAD,1.3501
2026-02-13,FXUSDCAD,1.3501
2026-02-16,FXUSDCAD,1.3496
2026-02-17,FXUSDCAD,1.3488
2026-02-18,FXUSDCAD,1.3476
2026-02-19,FXUSDCAD,1.3460
2026-02-20,FXUSDCAD,1.3439
2026-02-23,FXUSDCAD,1.3416
2026-02-24,FXUSDCAD,1.3389
2026-02-25,FXUSDCAD,1.3359
2026-02-26,FXUSDCAD,1.3328
2026-02-27,FXUSDCAD,1.3296
2026-03-02,FXUSDCAD,1.3263
2026-03-03,FXUSDCAD,1.3230
2026-03-04,FXUSDCAD,1.3199
2026-03-05,FXUSDCAD,1.3170
2026-03-06,FXUSDCAD,1.3144
2026-03-09,FXUSDCAD,1.3121
2026-03-10,FXUSDCAD,1.3102
2026-03-11,FXUSDCAD,1.3087
2026-03-12,FXUSDCAD,1.3076
2026-03-13,FXUSDCAD,1.3070
2026-03-16,FXUSDCAD,1.3069
2026-03-17,FXUSDCAD,1.3071
2026-03-18,FXUSDCAD,1.3078
2026-03-19,FXUSDCAD,1.3088
2026-03-20,FXUSDCAD,1.3101
2026-03-23,FXUSDCAD,1.3117
2026-03-24,FXUSDCAD,1.3133
2026-03-25,FXUSDCAD,1.3151
2026-03-26,FXUSDCAD,1.3168
2026-03-27,FXUSDCAD,1.3184
2026-03-30,FXUSDCAD,1.3199
2026-03-31,FXUSDCAD,1.3211
2026-04-01,FXUSDCAD,1.3220
2026-04-02,FXUSDCAD,1.3226
2026-04-03,FXUSDCAD,1.3229
2026-04-06,FXUSDCAD,1.3227
2026-04-07,FXUSDCAD,1.3222
2026-04-08,FXUSDCAD,1.3212
2026-04-09,FXUSDCAD,1.3200
2026-04-10,FXUSDCAD,1.3184
2026-04-13,FXUSDCAD,1.3165
2026-04-14,FXUSDCAD,1.3145
2026-04-15,FXUSDCAD,1.3124
2026-04-16,FXUSDCAD,1.3101
2026-04-17,FXUSDCAD,1.3080
2026-04-20,FXUSDCAD,1.3059
2026-04-21,FXUSDCAD,1.3040
2026-04-22,FXUSDCAD,1.3024
2026-04-23,FXUSDCAD,1.3012
2026-04-24,FXUSDCAD,1.3003
2026-04-27,FXUSDCAD,1.2998
2026-04-28,FXUSDCAD,1.2997
2026-04-29,FXUSDCAD,1.3002
2026-04-30,FXUSDCAD,1.3010
2026-05-01,FXUSDCAD,1.3024
2026-05-04,FXUSDCAD,1.3041
2026-05-05,FXUSDCAD,1.3062
2026-05-06,FXUSDCAD,1.3086
2026-05-07,FXUSDCAD,1.3112
2026-05-08,FXUSDCAD,1.3140
2026-05-11,FXUSDCAD,1.3169
2026-05-12,FXUSDCAD,1.3198
2026-05-13,FXUSDCAD,1.3227
2026-05-14,FXUSDCAD,1.3254
2026-05-15,FXUSDCAD,1.3278
2026-05-18,FXUSDCAD,1.3300
2026-05-19,FXUSDCAD,1.3319
